Found 150 potential Musky products.

- Fakhr Lattafa (فخر لطافة) | Category: Oriental | Notes: Oud, Rose, Saffron, Amber, Musk, Sandalwood, Patchouli, Vanilla
- Flowerbomb Tiger Lily | Category: Fruity | Notes: mango, coconut milk, tiger lily accord, jasmine, benzoin, musk
- Trésor Midnight Rose | Category: Fruity | Notes: raspberry, rose, black currant bud, pink pepper, jasmine, peony, vanilla, musk, cedar
- Bamboo | Category: Floral | Notes: bergamot, ylang-ylang, Casablanca lily, orange blossom, sandalwood, Tahitian vanilla, amber, musk
- Million Gold | Category: Sweet | Notes: mandarin orange, pear, rose, jasmine, vanilla, musk, cashmeran
- Yara Candy | Category: Sweet | Notes: strawberry, black currant, tangerine, gardenia, jasmine, vanilla, musk, sandalwood
- Q | Category: Fruity | Notes: Sicilian lemon, blood orange, cherry, jasmine, heliotrope, cedarwood, musk
- Bombshell | Category: Fruity | Notes: grapefruit, passionfruit, pineapple, tangerine, strawberry, peony, jasmine, vanilla orchid, red berries, musk, oakmoss, woods
- Rose Star | Category: Floral | Notes: rose, raspberry, pink pepper, patchouli, musk
- Rose Amira | Category: Oriental | Notes: Damask rose, saffron, amber, benzoin, patchouli, musk
- L.12.12 Rose Eau Intense | Category: Floral | Notes: mandarin orange, white tea, pepper, rose, cotton flower, musk, sandalwood
- Candy Love | Category: Sweet | Notes: candied apple, rose, whipped cream, vanilla, musk
- مشاعر | Category: Musky | Notes: vanilla, rice accord, musk, woody notes
- أميرة العرب | Category: Oriental | Notes: citrus notes, spicy notes, resinous notes, jasmine, oud, woody notes, musk
- My Way | Category: Floral | Notes: Calabrian bergamot, orange blossom, tuberose, jasmine, Madagascar vanilla, white musk, Virginia cedarwood
- YSL Libre | Category: Floral | Notes: Lavender, Mandarin Orange, Blackcurrant, Petitgrain, Orange Blossom, Jasmine, Madagascar Vanilla, Musk, Cedar, Ambergris
- L'eau d'Issey | Category: Aquatic | Notes: lotus, melon, freesia, rose water, rose, calone, cyclamen, lily-of-the-valley, lily, water peony, carnation, musk, tuberose, exotic woods, osmanthus, cedar, sandalwood, amber
- Narciso Rodriguez for Him | Category: Musky | Notes: violet leaf, musk, patchouli, amber
- Alpha Male | Category: Fresh | Notes: bergamot, neroli, lemon, lime, sugan mantri, lavender, sandalwood, cedarwood, vetiver, civet, patchouli, vanilla absolute, oakmoss
- UDV Blue | Category: Aquatic | Notes: lavender, musk, woody notes, amber
- Desert Dawn | Category: Woody | Notes: rose petals, cardamom, sandalwood, cedarwood, carrot seeds, musk, papyrus, vetiver, silk
- Lamar | Category: Fruity | Notes: pineapple, red berries, apple, cardamom, coriander, Bulgarian rose, Turkish rose, magnolia, jasmine sambac, musk, vanilla, amber, cashmere wood, cedar, moss
- Mangonifiscent | Category: Fruity | Notes: mango, bergamot, rose, geranium, jasmine, honey, patchouli, musk, vanilla, sandalwood, amber, moss
- Paradigme | Category: Oriental | Notes: Calabrian bergamot, musk, bourbon geranium, rose geranium, benzoin, Peru balsam, guaiac wood
- Bois d'Argent | Category: Woody | Notes: iris, cypress, juniper berries, myrrh, patchouli, woody notes, honey, vanilla, amber, resins, musk, leather
- Fahrenheit | Category: Woody | Notes: nutmeg flower, lavender, cedar, mandarin orange, chamomile, bergamot, hawthorn, lemon, violet leaf, nutmeg, sandalwood, carnation, honeysuckle, jasmine, lily-of-the-valley, leather, vetiver, musk, amber, patchouli, tonka bean
- Greenley | Category: Fresh | Notes: green apple, Calabrian bergamot, mandarin orange, petitgrain, cedar, cashmeran, pomarose, violet, oakmoss, musk, amberwood, patchouli
- Althaïr | Category: Sweet | Notes: cinnamon, orange blossom, cardamom, bergamot, bourbon vanilla, elemi, praline, musk, ambroxan, guaiac wood, tonka, candied almond
- Roses Vanille | Category: Sweet | Notes: Italian lemon, Turkish rose, vanilla, white musk, cedar
- Coco Vanille | Category: Sweet | Notes: coconut, white peach, tiare flower, ylang-ylang, jasmine, Madagascar vanilla, white musk, woody notes
- Black Vanilla | Category: Sweet | Notes: white peach, black currant, coconut, Calabrian bergamot, violet, Egyptian jasmine, Bulgarian rose, Madagascar vanilla, white musk
- Cool Water | Category: Aquatic | Notes: sea water, lavender, mint, green notes, rosemary, calone, coriander, sandalwood, neroli, geranium, jasmine, musk, oakmoss, cedar, tobacco, ambergris
- Golden Dust | Category: Oriental | Notes: Egyptian balsam, Damask rose, grapefruit, vanilla, honeysuckle, musk, fruity notes, resins, amber, floral notes
- Vanilla Powder | Category: Sweet | Notes: coconut powder, heliotrope, Madagascar vanilla, vanilla absolute, white musk, palo santo, coconut, lactones
- Hudson Valley | Category: Fruity | Notes: black currant, rose, spicy notes, patchouli, amber, musk, woody notes
- Cedrat Boisé | Category: Citrus | Notes: Sicilian lemon, bergamot, black currant, spicy notes, fruity notes, patchouli leaf, water jasmine, cedar, leather, sandalwood, vanilla, white musk, moss
- Summer Hammer | Category: Fruity | Notes: mango, pineapple, coconut, bergamot, white rum, coconut milk, white flowers, marine notes, musk, sandalwood, amber, vetiver
- Blue Talisman | Category: Citrus | Notes: pear, bergamot, mandarin orange, ginger, orange blossom, georgywood, musk, Ambrofix™, akigalawood, cedar
- Double Whisky | Category: Oriental | Notes: bergamot, apple, tangerine, cloves, lily-of-the-valley, cedar, patchouli, amber, musk, sandalwood
- Kenzo Homme Marine | Category: Aquatic | Notes: sea notes, ylang-ylang, sandalwood, musk
- Eternity for Men | Category: Fresh | Notes: lavender, lemon, bergamot, mandarin orange, sage, juniper berries, basil, geranium, jasmine, coriander, orange blossom, lily-of-the-valley, lily, sandalwood, musk, vetiver, Brazilian rosewood, amber
- Al Faris | Category: Woody | Notes: driftwood, ivy, geranium, plum, coconut, lily-of-the-valley, orange blossom, jasmine, violet, aquatic note, cedarwood, amberwood, cashmere wood, vanilla, white musk
- Oud Voyager | Category: Woody | Notes: geranium, pink pepper, citrus, red peony, cardamom, saffron, oud, cypriol (nagarmotha), patchouli, vetiver, musk
- Neroli Portofino | Category: Citrus | Notes: bergamot, mandarin orange, lemon, bitter orange, lavender, rosemary, myrtle, African orange flower, neroli, jasmine, pitosporum, amber, ambrette (musk mallow), angelica
- Intense Oud | Category: Oriental | Notes: frankincense, raspberry, saffron, pear, Damask rose, musk, orange blossom, agarwood (oud), leather, patchouli, ambergris
- Oud Vanille | Category: Oriental | Notes: caramel, raspberry, orange, incense, rose, patchouli, violet, jasmine, vanilla, woody notes, spices, musk
- Alf Lail o Lail | Category: Woody | Notes: woodsy notes, musk, spices, floral notes
- 1881 pour Homme | Category: Woody | Notes: juniper, cypress, lavender, bergamot, carnation, galbanum, elemi resin, vetiver, ylang-ylang, rose, lily-of-the-valley, cassia, oakmoss, pine tree, cedar, patchouli, musk, pepper, sandalwood
- Black Afgano | Category: Woody | Notes: cannabis, green notes, davana, saffron, thyme, resins, woodsy notes, tobacco, coffee, cinnamon, violet, raspberry, agarwood (oud), incense, amber, animal notes, guaiac wood, musk, tonka, cedar, gurjan balsam, ambroxan, vanilla
- Khamrah Qahwa | Category: Sweet | Notes: cinnamon, cardamom, ginger, praline, candied fruits, white flowers, vanilla, coffee, tonka bean, benzoin, musk
- Classic Black | Category: Woody | Notes: Granny Smith apple, bitter orange, mandarin orange, tea, sea water, geranium, cardamom, nutmeg, white musk, Virginia cedar, sandalwood, vetiver, tonka bean, oakmoss
- Tygar | Category: Citrus | Notes: grapefruit, ginger, ambrette, ambroxan, musk, vetiver, patchouli
- Falkar | Category: Woody | Notes: nutmeg, cinnamon, cypriol oil (nagarmotha), olibanum, agarwood (oud), black musk, saffron
- Man Rain Essence | Category: Musky | Notes: green tea, orange, white lotus, musk, guaiac wood, amber
- Luna Rossa | Category: Fresh | Notes: lavender, bitter orange, mint, clary sage, ambrette (musk mallow), ambroxan
- Chrome | Category: Citrus | Notes: lemon, rosemary, bergamot, neroli, pineapple, jasmine, oakmoss, cyclamen, coriander, musk, cedar, sandalwood, cardamom, Brazilian rosewood, tonka bean
- Bois Talisman | Category: Woody | Notes: bergamot, pink pepper, nutmeg, cedar, sandalwood, patchouli, vetiver, musk, amber
- CR7 | Category: Fresh | Notes: lavender, green apple, sage, tonka bean, musk, cedar
- Toy 2 | Category: Fruity | Notes: apple, magnolia, jasmine, rose, patchouli, vanilla, musk
- Tornado | Category: Sweet | Notes: vanilla, caramel, coffee, praline, musk
- Gisada | Category: Sweet | Notes: apple, cinnamon, vanilla, tonka bean, sandalwood, musk
- Ejaazi | Category: Oriental | Notes: saffron, rose, oud, amber, vanilla, musk
- Patchouli | Category: Woody | Notes: patchouli, rose, vanilla, amber, musk
- Allure Homme Sport | Category: Fresh | Notes: orange, sea notes, aldehydes, blood mandarin, pepper, neroli, cedar, vanilla, tonka bean, white musk, amber, vetiver, elemi resin
- Blanc Kogane | Category: Musky | Notes: aldehydes, Indian jasmine, white musk, lily, patchouli, vetiver
- Allure Homme Edition Blanche | Category: Citrus | Notes: Sicilian lemon, Calabrian bergamot, pink pepper, Madagascar vanilla, sandalwood, tonka bean, Tahitian vetiver, musk, cedar, amber
- Blue Turquoise | Category: Citrus | Notes: grapefruit, bergamot, ginger, orange blossom, musk, ambroxan, cedar
- Light Blue Intense | Category: Citrus | Notes: Sicilian lemon, apple, bellflower, jasmine, musk, amber, oakmoss
- Pineapple | Category: Fruity | Notes: pineapple, coconut, bergamot, jasmine, vanilla, musk, patchouli
- VIB 3 | Category: Fruity | Notes: mango, passionfruit, orange blossom, vanilla, sandalwood, musk
- Choco Violette | Category: Sweet | Notes: violet, chocolate, rose, patchouli, vanilla, tonka bean, musk
- Whisky Silver | Category: Woody | Notes: whisky, apple, lavender, cinnamon, cedarwood, vetiver, amber, musk
- Layl Malaki | Category: Oriental | Notes: lavender, bergamot, cinnamon, oud, amber, vanilla, musk
- Kalemat | Category: Oriental | Notes: saffron, oud, rose, amber, musk, vanilla, woodsy notes
- L'Amour | Category: Floral | Notes: rose, jasmine, orange blossom, vanilla, musk, sandalwood
- Almas | Category: Woody | Notes: saffron, rose, oud, amber, vanilla, musk, patchouli
- Kurky | Category: Oriental | Notes: bergamot, lavender, cinnamon, oud, patchouli, vanilla, amber, musk
- Versace Eros Pour Femme | Category: Floral | Notes: Sicilian Lemon, Calabrian Bergamot, Pomegranate, Lemon Blossom, Jasmine Sambac, Jasmine, Peony, Musk, Ambroxan, Woody Notes, Sandalwood
- Yum Boujee Marshmallow | 81 | Category: Sweet | Notes: Pink Lady apple, nectarine blossom, freesia, Italian lemon, pink marshmallow, strawberry, coconut flakes, orange blossom, whipped vanilla, raspberry sugar, pink musk, ambrox
- Mandarino di Amalfi | Category: Citrus | Notes: lemon, grapefruit, mint, basil, tarragon, black currant, orange blossom, jasmine, clary sage, shiso, coriander, black pepper, musk, vetiver, amber, labdanum, civet
- Parfums de Marly Valaya | Category: Fresh | Notes: Aldehydes, White Peach, Bergamot, Mandarin Orange, Orange Blossom, Petalia, Vetiver, Musk, Ambroxan, Akigalawood
- Dior  Sauvage | Category: Fresh | Notes: Cold Spices, Blanche Lavender, Musky Woods
- Xerjoff Torino 22 | Category: Citrus | Notes: Lemon, Bergamot, Orange, Pink Pepper, Geranium, Rose, Jasmine, Patchouli, Cedarwood, Sandalwood, Musk, Amber
- Xerjoff Overdose | Category: Oriental | Notes: Bergamot, Blackcurrant, Saffron, Rose, Jasmine, Oud, Vanilla, Sandalwood, Patchouli, Musk
- Dior J'adore | Category: Floral | Notes: Pear, Melon, Magnolia, Peach, Mandarin Orange, Bergamot, Jasmine, Lily-of-the-Valley, Tuberose, Freesia, Rose, Orchid, Plum, Violet, Musk, Vanilla, Blackberry, Cedar
- Xerjoff Naxos | Category: Sweet | Notes: Sicilian Lemon, Bergamot, Lavender, Honey, Tobacco, Cinnamon, Vanilla, Sandalwood, Tonka Bean, Musk
- Scandal By Night | Category: Oriental | Notes: honey, bitter orange, citruses, cherry, tuberose, orange blossom, pear, nard (jatamansi), tonka bean, vanilla, patchouli, sandalwood, amberwood, white musk
- Badi Al Oud (بديع العود) | Category: Oriental | Notes: Oud, Saffron, Rose, Amber, Vanilla, Sandalwood, Musk
- Gentleman | Category: Woody | Notes: bergamot, cinnamon, honey, lemon, rose, tarragon, cedarwood, jasmine, orris root, patchouli, amber, leather, musk, oakmoss, vanilla, vetiver
- Versace Crystal Noir | Category: Sweet | Notes: Ginger, Cardamom, Pepper, Orange Blossom, Gardenia, Peony, Coconut, Musk, Sandalwood, Amber
- Dior Miss Dior  | Category: Floral | Notes: Iris, Peony, Lily-of-the-Valley, Apricot, Rose, Peach, Vanilla, Tonka Bean, Musk, Benzoin, Sandalwood
- YSL Mon Paris | Category: Sweet | Notes: Strawberry, Raspberry, Pear, Orange, Tangerine, Calabrian Bergamot, Calone, Peony, Jasmine Sambac, Datura, Orange Blossom, White Musk, Patchouli, Amber, Cedar, Moss, Vanilla
- Ralph Lauren Polo Blue | Category: Fresh | Notes: Cucumber, Melon, Mandarin Orange, Basil, Sage, Geranium, Suede, Woodsy Notes, Musk
- Nautica Voyage | Category: Aquatic | Notes: Apple, Green Leaves, Lotus, Mimosa, Cedarwood, Musk, Moss, Amber
- CK One | Category: Citrus | Notes: Lemon, Green Notes, Bergamot, Mandarin Orange, Pineapple, Cardamom, Papaya, Lily-of-the-Valley, Jasmine, Violet, Rose, Green Tea, Musky, Cedar, Sandalwood, Oakmoss, Amber
- Montale Rendez-Vous à Paris | Category: Floral | Notes: Pear, Rhubarb, Rose Petals, Patchouli, White Flowers, Ginger, Musk, Sugar, Vanilla, Powdery Notes, Ambergris
- Sheikh Al Shuyukh (شيخ الشيوخ) | Category: Oriental | Notes: Bergamot, Saffron, Rose, Oud, Amber, Musk, Patchouli, Sandalwood
- Xerjoff Accento | Category: Fruity | Notes: Grapefruit, Bergamot, Blackcurrant, Peach, Rose, Jasmine, Iris, Sandalwood, Musk, Amber
- Amir Al Arab (أمير العرب) | Category: Oriental | Notes: Oud, Rose, Saffron, Amber, Sandalwood, Musk, Cedarwood
- Xerjoff Erba Gold | Category: Fruity | Notes: Grapefruit, Bergamot, Green Tea, Lily of the Valley, Jasmine, Rose, Sandalwood, Musk, Amber, Cedar
- Xerjoff Erba Pura | Category: Fruity | Notes: Sicilian Lemon, Mandarin Orange, Pineapple, White Musk, Amber, Sandalwood, Vanilla
- Lattafa Yara (Pink) | Category: Sweet | Notes: Heliotrope, Orchid, Tangerine, Gourmand Accord, Tropical Fruits, Vanilla, Musk, Sandalwood
- Terenzi Kirke | Category: Fruity | Notes: Passionfruit, Peach, Raspberry, Lily-of-the-Valley, Sand, Heliotrope, Vanilla, Patchouli, Musk, Sandalwood
- Issey Miyake L'Eau d'Issey Pour Homme | Category: Fresh | Notes: Yuzu, Lemon, Bergamot, Verbena, Coriander, Blue Lotus, Nutmeg, Lily-of-the-Valley, Saffron, Tahitian Vetiver, Musk, Cedar, Sandalwood, Amber, Tobacco
- Good Girl | Category: Sweet | Notes: Almond, Coffee, Bergamot, Lemon, Tuberose, Jasmine Sambac, Orris, Orange Blossom, Tonka Bean, Cacao, Vanilla, Praline, Cinnamon, Sandalwood, Amber, Cashmere Wood, Patchouli, Musk, Cedar
- Prada Paradoxe | Category: Floral | Notes: Pear, Tangerine, Bergamot, Orange Blossom, Jasmine Sambac, Neroli Essence, Bourbon Vanilla, White Musk, Amber, Benzoin
- Carolina Herrera 212 VIP Black | Category: Sweet | Notes: Absinthe, Anise, Fennel, Lavender, Black Vanilla Husk, Musk
- Chloé Eau de Parfum | Category: Floral | Notes: Peony, Litchi, Freesia, Rose, Lily-of-the-Valley, Magnolia, Virginia Cedar, Amber
- Tom Ford Black Orchid | Category: Oriental | Notes: Truffle, Gardenia, Blackcurrant, Ylang-Ylang, Jasmine, Bergamot, Mandarin Orange, Lemon, Orchid, Spices, Fruity Notes, Lotus, Mexican Chocolate, Patchouli, Vanilla, Incense, Amber, Sandalwood, Vetiver, White Musk
- Lancôme Idôle | Category: Floral | Notes: Pear, Bergamot, Pink Pepper, Turkish Rose, May Rose, Indian Jasmine, White Musk, Vanilla
- Parfums de Marly Delina | Category: Floral | Notes: Lychee, Rhubarb, Bergamot, Nutmeg, Turkish Rose, Peony, Musk, Petalia, Vanilla, Cashmeran, Incense, Cedar, Haitian Vetiver
- Creed Aventus | Category: Fresh | Notes: Pineapple, Bergamot, Blackcurrant, Apple, Birch, Patchouli, Moroccan Jasmine, Rose, Musk, Oakmoss, Ambergris, Vanilla
- Viktor&Rolf Flowerbomb | Category: Sweet | Notes: Tea, Bergamot, Osmanthus, Orchid, Jasmine, Rose, Freesia, African Orange Flower, Patchouli, Musk, Vanilla
- Nishane Hacivat | Category: Fresh | Notes: Pineapple, Grapefruit, Bergamot, Cedar, Patchouli, Jasmine, Oakmoss, Woody Notes
